SESSION_ID,SESSION_START,SESSION_END,SESSION_DURATION,TYPE,EXHIBIT,EXHIBIT_ID,EVENT_START,EVENT_END,EVENT_DURATION,ACTIONS_COUNT
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Workshops,96,3654.1,3832.088,177.98800000000028,5
2,3318.623,4465.012,1146.3889999999997,MAP,,,3832.188,3967.679,135.49099999999999,18
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Kitchen,100,3967.679,4036.441,68.76199999999972,4
2,3318.623,4465.012,1146.3889999999997,MAP,,,4036.507,4049.212,12.704999999999927,5
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Special camp for Jews from Poland,101,4049.212,4113.919,64.70699999999988,2
2,3318.623,4465.012,1146.3889999999997,MAP,,,4114.002,4136.367,22.36499999999978,11
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Separation strip,105,4136.367,4169.257,32.88999999999942,1
2,3318.623,4465.012,1146.3889999999997,MAP,,,4169.357,4172.165,2.8079999999999927,1
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Roll call square of the Star camp,106,4172.165,4235.811,63.64599999999973,7
2,3318.623,4465.012,1146.3889999999997,MAP,,,4235.894,4243.894,8.0,1
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Star Camp,87,4243.894,4321.555,77.66100000000006,5
2,3318.623,4465.012,1146.3889999999997,MAP,,,4321.605,4322.321,0.7160000000003492,1
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Vegetable cellar,88,4322.321,4347.003,24.68199999999979,1
2,3318.623,4465.012,1146.3889999999997,MAP,,,4347.053,4352.319,5.266000000000531,1
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Gate to Prisoner Compound,89,4352.319,4379.301,26.98199999999997,1
2,3318.623,4465.012,1146.3889999999997,MAP,,,4379.417,4388.467,9.049999999999272,1
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Concentration Camp Bergen-Belsen,,4388.467,4391.664,3.1970000000001164,0
2,3318.623,4465.012,1146.3889999999997,CONTENT,Exhibit_Concentration Camp Bergen-Belsen,90,4391.664,4402.08,10.416000000000167,1
2,3318.623,4465.012,1146.3889999999997,MAP,,,4402.146,4403.628,1.481999999999971,1
2,3318.623,4465.012,1146.3889999999997,CONTENT,MenuExhibitButton_Die Rampe,92,4403.628,4442.447,38.819000000000415,3
2,3318.623,4465.012,1146.3889999999997,MAP,,,4442.546,4465.012,22.46599999999944,17
2,3318.623,4465.012,1146.3889999999997,END,,,4465.012,4465.012,0.0,1
3,13194.49,13729.67,535.1800000000003,START,,,13194.49,13194.49,0.0,1
3,13194.49,13729.67,535.1800000000003,MAP,,,13194.73,13216.26,21.530000000000655,1
3,13194.49,13729.67,535.1800000000003,CONTENT,Exhibit_Women's Camp,94,13216.26,13268.65,52.38999999999942,6
3,13194.49,13729.67,535.1800000000003,MAP,,,13268.72,13284.82,16.100000000000364,6
3,13194.49,13729.67,535.1800000000003,CONTENT,Exhibit_Crematorium,99,13284.82,13335.23,50.409999999999854,4
3,13194.49,13729.67,535.1800000000003,MAP,,,13335.28,13338.5,3.219999999999345,1
3,13194.49,13729.67,535.1800000000003,CONTENT,MenuExhibitButton_Kitchen,,13338.5,13343.39,4.889999999999418,0
3,13194.49,13729.67,535.1800000000003,CONTENT,Exhibit_Kitchen,100,13343.39,13436.36,92.97000000000116,2
3,13194.49,13729.67,535.1800000000003,MAP,,,13436.54,13454.69,18.149999999999636,9
3,13194.49,13729.67,535.1800000000003,CONTENT,Exhibit_Kitchen,,13454.69,13455.72,1.0299999999988358,0
3,13194.49,13729.67,535.1800000000003,CONTENT,Exhibit_Kitchen,100,13455.72,13499.45,43.73000000000138,6
3,13194.49,13729.67,535.1800000000003,MAP,,,13499.52,13500.34,0.819999999999709,1
3,13194.49,13729.67,535.1800000000003,CONTENT,MenuExhibitButton_Delousing baths,98,13500.34,13531.47,31.1299999999992,1
3,13194.49,13729.67,535.1800000000003,MAP,,,13531.54,13536.69,5.149999999999636,7
3,13194.49,13729.67,535.1800000000003,CONTENT,MenuExhibitButton_Women's Camp,,13536.69,13546.35,9.659999999999854,0
3,13194.49,13729.67,535.1800000000003,CONTENT,Exhibit_Women's Camp,94,13546.35,13628.81,82.45999999999913,4
3,13194.49,13729.67,535.1800000000003,MAP,,,13628.86,13635.5,6.639999999999418,1
3,13194.49,13729.67,535.1800000000003,CONTENT,MenuExhibitButton_Neutral's camp,97,13635.5,13656.16,20.659999999999854,1
3,13194.49,13729.67,535.1800000000003,MAP,,,13656.23,13661.23,5.0,5
3,13194.49,13729.67,535.1800000000003,CONTENT,MenuExhibitButton_Special camp for Jews from Poland,101,13661.23,13727.74,66.51000000000022,2
3,13194.49,13729.67,535.1800000000003,MAP,,,13727.79,13729.67,1.8799999999991996,1
3,13194.49,13729.67,535.1800000000003,END,,,13729.67,13729.67,0.0,1
4,14696.84,15314.96,618.119999999999,START,,,14696.84,14696.84,0.0,1
4,14696.84,15314.96,618.119999999999,MAP,,,14696.89,14817.15,120.26000000000022,147
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14817.15,14818.25,1.1000000000003638,0
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14818.25,14818.75,0.5,0
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14818.75,14819.62,0.8700000000008004,0
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14819.62,14820.0,0.37999999999919964,0
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14820.0,14820.4,0.3999999999996362,0
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14820.4,14821.48,1.0799999999999272,0
